,Employee_Name,EmpID,GenderID,PerfScoreID,Salary,Termd,PositionID,Position,State,DOB,Sex,MaritalDesc,DateofHire,DateofTermination,TermReason,EmploymentStatus,Department,RecruitmentSource,PerformanceScore,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,LastPerformanceReview_Date,Absences,Status
0,"Adinolfi, Wilson  K",10026,1,4,62506,0,19,Production Technician I,MA,1983-07-10,M ,Single,2011-07-05,,N/A-StillEmployed,Active,Production,LinkedIn,Exceeds,4.6,5,0,1/17/2019,1,Active
1,"Ait Sidi, Karthikeyan   ",10084,1,3,104437,1,27,Sr. DBA,MA,1975-05-05,M ,Married,2015-03-30,2016-06-16,career change,Voluntarily Terminated,IT/IS,Indeed,Fully Meets,4.96,3,6,2/24/2016,17,Baja
2,"Akinkuolie, Sarah",10196,0,3,64955,1,20,Production Technician II,MA,1988-09-19,F,Married,2011-07-05,2012-09-24,hours,Voluntarily Terminated,Production,LinkedIn,Fully Meets,3.02,3,0,5/15/2012,3,Baja
3,"Alagbe,Trina",10088,0,3,64991,0,19,Production Technician I,MA,1988-09-27,F,Married,2008-01-07,,N/A-StillEmployed,Active,Production,Indeed,Fully Meets,4.84,5,0,1/3/2019,15,Active
4,"Anderson, Carol ",10069,0,3,50825,1,19,Production Technician I,MA,1989-09-08,F,Divorced,2011-07-11,2016-09-06,return to school,Voluntarily Terminated,Production,Google Search,Fully Meets,5.0,4,0,2/1/2016,2,Baja
5,"Anderson, Linda  ",10002,0,4,57568,0,19,Production Technician I,MA,1977-05-22,F,Single,2012-01-09,,N/A-StillEmployed,Active,Production,LinkedIn,Exceeds,5.0,5,0,1/7/2019,15,Active
6,"Andreola, Colby",10194,0,3,95660,0,24,Software Engineer,MA,1979-05-24,F,Single,2014-11-10,,N/A-StillEmployed,Active,Software Engineering,LinkedIn,Fully Meets,3.04,3,4,1/2/2019,19,Active
7,"Athwal, Sam",10062,1,3,59365,0,19,Production Technician I,MA,1983-02-18,M ,Widowed,2013-09-30,,N/A-StillEmployed,Active,Production,Employee Referral,Fully Meets,5.0,4,0,2/25/2019,19,Active
8,"Bachiochi, Linda",10114,0,3,47837,0,19,Production Technician I,MA,2070-02-11,F,Single,2009-07-06,,N/A-StillEmployed,Active,Production,Diversity Job Fair,Fully Meets,4.46,3,0,1/25/2019,4,Active
9,"Bacong, Alejandro ",10250,1,3,50178,0,14,IT Support,MA,1988-01-07,M ,Divorced,2015-01-05,,N/A-StillEmployed,Active,IT/IS,Indeed,Fully Meets,5.0,5,6,2/18/2019,16,Active
10,"Baczenski, Rachael  ",10252,0,3,54670,1,19,Production Technician I,MA,1974-01-12,F,Married,2011-01-10,2017-01-12,Another position,Voluntarily Terminated,Production,Diversity Job Fair,Fully Meets,4.2,4,0,1/30/2016,12,Baja
11,"Barbara, Thomas",10242,1,3,47211,1,19,Production Technician I,MA,1974-02-21,M ,Married,2012-04-02,2016-09-19,unhappy,Voluntarily Terminated,Production,Diversity Job Fair,Fully Meets,4.2,3,0,5/6/2016,15,Baja
12,"Barbossa, Hector",10012,1,4,92328,0,9,Data Analyst,TX,1988-07-04,M ,Divorced,2014-11-10,,N/A-StillEmployed,Active,IT/IS,Diversity Job Fair,Exceeds,4.28,4,5,2/25/2019,9,Active
13,"Barone, Francesco  A",10265,1,3,58709,0,19,Production Technician I,MA,1983-07-20,M ,Single,2012-02-20,,N/A-StillEmployed,Active,Production,Google Search,Fully Meets,4.6,4,0,2/14/2019,7,Active
14,"Barton, Nader",10066,1,3,52505,1,19,Production Technician I,MA,1977-07-15,M ,Divorced,2012-09-24,2017-04-06,Another position,Voluntarily Terminated,Production,On-line Web application,Fully Meets,5.0,5,0,3/2/2017,1,Baja
15,"Bates, Norman",10061,1,3,57834,1,19,Production Technician I,MA,1981-10-18,M ,Single,2011-02-21,2017-08-04,attendance,Terminated for Cause,Production,Google Search,Fully Meets,5.0,4,0,4/5/2017,20,Baja
16,"Beak, Kimberly  ",10023,0,4,70131,0,20,Production Technician II,MA,2066-04-17,F,Married,2016-07-21,,N/A-StillEmployed,Active,Production,Employee Referral,Exceeds,4.4,3,0,1/14/2019,16,Active
17,"Beatrice, Courtney ",10055,0,3,59026,0,19,Production Technician I,MA,2070-10-27,F,Single,2011-04-04,,N/A-StillEmployed,Active,Production,Google Search,Fully Meets,5.0,5,0,1/14/2019,12,Active
18,"Becker, Renee",10245,0,3,110000,1,8,Database Administrator,MA,1986-04-04,F,Single,2014-07-07,2015-09-12,performance,Terminated for Cause,IT/IS,Google Search,Fully Meets,4.5,4,5,1/15/2015,8,Baja
19,"Becker, Scott",10277,1,3,53250,0,19,Production Technician I,MA,1979-04-06,M ,Single,2013-07-08,,N/A-StillEmployed,Active,Production,LinkedIn,Fully Meets,4.2,4,0,1/11/2019,13,Active
20,"Bernstein, Sean",10046,1,3,51044,0,19,Production Technician I,MA,2070-12-22,M ,Single,2012-04-02,,N/A-StillEmployed,Active,Production,Google Search,Fully Meets,5.0,3,0,1/14/2019,13,Active
21,"Biden, Lowan  M",10226,0,3,64919,0,19,Production Technician I,MA,2058-12-27,F,Divorced,2013-08-19,,N/A-StillEmployed,Active,Production,Indeed,Fully Meets,4.2,3,0,1/10/2019,2,Active
22,"Billis, Helen",10003,0,4,62910,0,19,Production Technician I,MA,1989-09-01,F,Married,2014-07-07,,N/A-StillEmployed,Active,Production,Indeed,Exceeds,5.0,3,0,2/27/2019,19,Active
23,"Blount, Dianna",10294,0,2,66441,0,20,Production Technician II,MA,1990-09-21,F,Single,2011-04-04,,N/A-StillEmployed,Active,Production,CareerBuilder,Needs Improvement,2.0,3,0,2/27/2019,3,Active
24,"Bondwell, Betsy",10267,0,3,57815,1,20,Production Technician II,MA,2067-01-16,F,Single,2011-01-10,2014-04-04,career change,Voluntarily Terminated,Production,Google Search,Fully Meets,4.8,5,0,3/4/2014,5,Baja
25,"Booth, Frank",10199,1,3,103613,1,30,Enterprise Architect,CT,2064-07-30,M ,Single,2014-02-17,2016-02-19,Learned that he is a gangster,Terminated for Cause,IT/IS,LinkedIn,Fully Meets,3.5,5,7,1/10/2016,2,Baja
26,"Boutwell, Bonalyn",10081,0,3,106367,0,26,Sr. Accountant,MA,1987-04-04,F,Married,2015-02-16,,N/A-StillEmployed,Active,Admin Offices,Diversity Job Fair,Fully Meets,5.0,4,3,2/18/2019,4,Active
27,"Bozzi, Charles",10175,1,3,74312,1,18,Production Manager,MA,2070-03-10,M ,Single,2013-09-30,2014-08-07,retiring,Voluntarily Terminated,Production,Indeed,Fully Meets,3.39,3,0,2/20/2014,14,Baja
28,"Brill, Donna",10177,0,3,53492,1,19,Production Technician I,MA,1990-08-24,F,Married,2012-04-02,2013-06-15,Another position,Voluntarily Terminated,Production,Google Search,Fully Meets,3.35,4,0,3/4/2013,6,Baja
29,"Brown, Mia",10238,0,3,63000,0,1,Accountant I,MA,1987-11-24,F,Married,2008-10-27,,N/A-StillEmployed,Active,Admin Offices,Diversity Job Fair,Fully Meets,4.5,2,6,1/15/2019,14,Active
30,"Buccheri, Joseph  ",10184,1,3,65288,0,20,Production Technician II,MA,1983-07-28,M ,Single,2014-09-29,,N/A-StillEmployed,Active,Production,Google Search,Fully Meets,3.19,3,0,2/1/2019,9,Active
31,"Bugali, Josephine ",10203,0,3,64375,0,19,Production Technician I,MA,2069-10-30,F,Separated,2013-11-11,,N/A-StillEmployed,Active,Production,Diversity Job Fair,Fully Meets,3.5,5,0,1/21/2019,17,Active
32,"Bunbury, Jessica",10188,0,3,74326,1,3,Area Sales Manager,VA,2064-06-01,F,Married,2011-08-15,2014-08-02,Another position,Voluntarily Terminated,Sales,Google Search,Fully Meets,3.14,5,0,2/10/2013,19,Baja
33,"Burke, Joelle",10107,0,3,63763,0,20,Production Technician II,MA,1980-03-02,F,Single,2012-03-05,,N/A-StillEmployed,Active,Production,Employee Referral,Fully Meets,4.51,4,0,2/21/2019,3,Active
34,"Burkett, Benjamin ",10181,1,3,62162,0,20,Production Technician II,MA,1977-08-19,M ,Married,2011-04-04,,N/A-StillEmployed,Active,Production,Indeed,Fully Meets,3.25,5,0,1/14/2019,15,Active
35,"Cady, Max ",10150,1,3,77692,0,25,Software Engineering Manager,MA,2066-11-22,M ,Single,2011-08-15,,N/A-StillEmployed,Active,Software Engineering,Google Search,Fully Meets,3.84,3,5,1/21/2019,4,Active
36,"Candie, Calvin",10001,1,4,72640,0,18,Production Manager,MA,1983-08-09,M ,Single,2016-01-28,,N/A-StillEmployed,Active,Production,Indeed,Exceeds,5.0,3,0,2/22/2019,14,Active
37,"Carabbio, Judith",10085,0,3,93396,0,24,Software Engineer,MA,1987-04-05,F,Single,2013-11-11,,N/A-StillEmployed,Active,Software Engineering,Indeed,Fully Meets,4.96,4,6,1/30/2019,3,Active
38,"Carey, Michael  ",10115,1,3,52846,0,19,Production Technician I,MA,1983-02-02,M ,Single,2014-03-31,,N/A-StillEmployed,Active,Production,LinkedIn,Fully Meets,4.43,3,0,2/1/2019,14,Active
39,"Carr, Claudia  N",10082,0,3,100031,0,27,Sr. DBA,MA,1986-06-06,F,Single,2016-06-30,,N/A-StillEmployed,Active,IT/IS,LinkedIn,Fully Meets,5.0,5,6,2/18/2019,7,Active
40,"Carter, Michelle ",10040,0,3,71860,0,3,Area Sales Manager,VT,2063-05-15,F,Single,2014-08-18,,N/A-StillEmployed,Active,Sales,Indeed,Fully Meets,5.0,5,0,1/21/2019,7,Active
41,"Chace, Beatrice ",10067,0,3,61656,0,19,Production Technician I,MA,2051-01-02,F,Single,2014-09-29,,N/A-StillEmployed,Active,Production,Google Search,Fully Meets,5.0,4,0,2/12/2019,11,Active
42,"Champaigne, Brian",10108,1,3,110929,0,5,BI Director,MA,1972-02-09,M ,Married,2016-09-06,,N/A-StillEmployed,Active,IT/IS,Indeed,Fully Meets,4.5,5,7,1/15/2019,8,Active
43,"Chan, Lin",10210,0,3,54237,0,19,Production Technician I,MA,1979-02-12,F,Single,2014-05-12,,N/A-StillEmployed,Active,Production,Indeed,Fully Meets,3.3,4,0,2/19/2019,11,Active
44,"Chang, Donovan  E",10154,1,3,60380,0,19,Production Technician I,MA,1983-08-24,M ,Single,2013-07-08,,N/A-StillEmployed,Active,Production,LinkedIn,Fully Meets,3.8,5,0,1/14/2019,4,Active
45,"Chigurh, Anton",10200,1,3,66808,0,3,Area Sales Manager,TX,2070-06-11,M ,Single,2012-05-14,,N/A-StillEmployed,Active,Sales,Employee Referral,Fully Meets,3.0,5,0,1/19/2019,17,Active
46,"Chivukula, Enola",10240,0,3,64786,1,19,Production Technician I,MA,1983-08-27,F,Single,2011-06-27,2015-11-15,relocation out of area,Voluntarily Terminated,Production,Indeed,Fully Meets,4.3,4,0,3/10/2015,3,Baja
47,"Cierpiszewski, Caroline  ",10168,0,3,64816,0,19,Production Technician I,MA,1988-05-31,F,Single,2011-10-03,,N/A-StillEmployed,Active,Production,Indeed,Fully Meets,3.58,5,0,1/30/2019,3,Active
48,"Clayton, Rick",10220,1,3,68678,0,14,IT Support,MA,1985-09-05,M ,Single,2012-09-05,,N/A-StillEmployed,Active,IT/IS,Indeed,Fully Meets,4.7,3,6,2/27/2019,2,Active
49,"Cloninger, Jennifer",10275,0,3,64066,1,20,Production Technician II,MA,1981-08-31,F,Married,2011-05-16,2013-01-07,unhappy,Voluntarily Terminated,Production,Google Search,Fully Meets,4.2,5,0,5/3/2012,9,Baja
50,"Close, Phil",10269,1,3,59369,1,20,Production Technician II,MA,1978-11-25,M ,Married,2010-08-30,2011-09-26,career change,Voluntarily Terminated,Production,Indeed,Fully Meets,4.2,4,0,5/4/2011,6,Baja
51,"Clukey, Elijian",10029,1,4,50373,0,19,Production Technician I,MA,1980-08-26,M ,Married,2016-07-06,,N/A-StillEmployed,Active,Production,Employee Referral,Exceeds,4.1,4,0,2/28/2019,5,Active
52,"Cockel, James",10261,1,3,63108,0,19,Production Technician I,MA,1977-09-08,M ,Single,2013-07-08,,N/A-StillEmployed,Active,Production,Employee Referral,Fully Meets,4.4,5,0,1/14/2019,3,Active
53,"Cole, Spencer",10292,1,2,59144,1,19,Production Technician I,MA,1979-08-12,M ,Single,2011-07-11,2016-09-23,performance,Terminated for Cause,Production,LinkedIn,Needs Improvement,2.0,3,0,5/1/2016,16,Baja
54,"Corleone, Michael",10282,1,2,68051,0,18,Production Manager,MA,1975-12-17,M ,Divorced,2010-07-20,,N/A-StillEmployed,Active,Production,CareerBuilder,Needs Improvement,4.13,2,0,1/14/2019,3,Active
55,"Corleone, Vito",10019,1,4,170500,0,10,Director of Operations,MA,1983-03-19,M ,Single,2009-01-05,,N/A-StillEmployed,Active,Production,Indeed,Exceeds,3.7,5,0,2/4/2019,15,Active
56,"Cornett, Lisa ",10094,0,3,63381,0,19,Production Technician I,MA,1977-03-31,F,Married,2015-01-05,,N/A-StillEmployed,Active,Production,Indeed,Fully Meets,4.73,5,0,2/14/2019,6,Active
57,"Costello, Frank",10193,1,3,83552,0,9,Data Analyst,MA,1986-08-26,M ,Married,2015-03-30,,N/A-StillEmployed,Active,IT/IS,Indeed,Fully Meets,3.04,3,6,1/22/2019,2,Active
58,"Crimmings,   Jean",10132,0,3,56149,0,19,Production Technician I,MA,1987-04-10,F,Single,2016-07-06,,N/A-StillEmployed,Active,Production,LinkedIn,Fully Meets,4.12,5,0,1/28/2019,15,Active
59,"Cross, Noah",10083,1,3,92329,0,28,Sr. Network Engineer,CT,2065-09-09,M ,Single,2014-11-10,,N/A-StillEmployed,Active,IT/IS,Employee Referral,Fully Meets,5.0,3,4,1/2/2019,5,Active
60,"Daneault, Lynn",10099,0,3,65729,0,21,Sales Manager,VT,1990-04-19,F,Single,2014-05-05,,N/A-StillEmployed,Active,Sales,Indeed,Fully Meets,4.62,4,0,1/24/2019,8,Active
61,"Daniele, Ann  ",10212,0,3,85028,0,28,Sr. Network Engineer,CT,2052-01-18,F,Married,2014-11-10,,N/A-StillEmployed,Active,IT/IS,LinkedIn,Fully Meets,3.1,5,8,2/12/2019,19,Active
62,"Darson, Jene'ya ",10056,0,3,57583,0,19,Production Technician I,MA,1978-11-05,F,Married,2012-07-02,,N/A-StillEmployed,Active,Production,Indeed,Fully Meets,5.0,3,0,2/25/2019,1,Active
